STARS,SP_TYPE,RA,DEC,J,H,K,Ks,L,M,Lp,Mp,source
Hip062239,G0V,191.35,-83.6577,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip062246,G2V,191.356,29.776,7.051,6.832,6.765,99.0,99.0,99.0,99.0,99.0,Isaac
Hip062254,G3V,191.366,-37.4492,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip062297,G3V,191.481,-53.6167,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip062337,G1V,191.615,-20.848,7.887,7.622,7.542,99.0,99.0,99.0,99.0,99.0,Isaac
Hip062352,G3V,191.648,-40.3249,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip062377,G3V,191.76,-38.8078,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip062408,G3V,191.838,-19.0044,6.05,5.72,5.628,99.0,99.0,99.0,99.0,99.0,Isaac
Hip062410,G3V,191.846,-39.4816,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip062412,G3V,191.859,-43.731,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip062467,G3V,192.026,-35.7033,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip062507,G1V,192.143,26.5972,7.586,7.336,7.23,99.0,99.0,99.0,99.0,99.0,Isaac
Hip062511,G1V,192.163,-31.4093,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip062535,G0V,192.217,-37.0418,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip062583,G3V,192.356,-25.2962,6.874,6.602,6.491,99.0,99.0,99.0,99.0,99.0,Isaac
Hip062661,G0V,192.585,-30.5772,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip062800,G1V,193.031,-26.4611,7.212,6.894,6.805,99.0,99.0,99.0,99.0,99.0,Isaac
Hip062804,G3V,193.048,-38.9947,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip062809,G3V,193.052,-56.5739,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip062871,G0V,193.287,-60.8815,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip062925,G0V,193.428,-27.4042,6.717,6.481,6.404,99.0,99.0,99.0,99.0,99.0,Isaac
Hip063048,G2V,193.784,27.7665,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip063333,G0V,194.671,27.4749,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip063332,G0V,194.671,-37.8203,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip063364,G1V,194.753,-50.5641,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip063377,G3V,194.79,-62.9295,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip063387,G1V,194.836,-70.6327,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
